warehouse_id,warehouse_region,capacity_units,fixed_daily_cost_usd
WH-S100916,South,115000,1700
WH-E100917,East,118000,1750
WH-W100918,West,110000,1680
WH-C100919,Central,180000,2600
WH-N100920,North,120000,1800
WH-S100921,South,115000,1700
WH-E100922,East,118000,1750
WH-W100923,West,110000,1680
WH-C100924,Central,180000,2600
WH-N100925,North,120000,1800
WH-S100926,South,115000,1700
WH-E100927,East,118000,1750
WH-W100928,West,110000,1680
WH-C100929,Central,180000,2600
WH-N100930,North,120000,1800
WH-S100931,South,115000,1700
WH-E100932,East,118000,1750
WH-W100933,West,110000,1680
WH-C100934,Central,180000,2600
WH-N100935,North,120000,1800
WH-S100936,South,115000,1700
WH-E100937,East,118000,1750
WH-W100938,West,110000,1680
WH-C100939,Central,180000,2600
WH-N100940,North,120000,1800
WH-S100941,South,115000,1700
WH-E100942,East,118000,1750
WH-W100943,West,110000,1680
WH-C100944,Central,180000,2600
WH-N100945,North,120000,1800
WH-S100946,South,115000,1700
WH-E100947,East,118000,1750
WH-W100948,West,110000,1680
WH-C100949,Central,180000,2600
WH-N100950,North,120000,1800
WH-S100951,South,115000,1700
WH-E100952,East,118000,1750
WH-W100953,West,110000,1680
WH-C100954,Central,180000,2600
WH-N100955,North,120000,1800
WH-S100956,South,115000,1700
WH-E100957,East,118000,1750
WH-W100958,West,110000,1680
WH-C100959,Central,180000,2600
WH-N100960,North,120000,1800
WH-S100961,South,115000,1700
WH-E100962,East,118000,1750
WH-W100963,West,110000,1680
WH-C100964,Central,180000,2600
WH-N100965,North,120000,1800
WH-S100966,South,115000,1700
WH-E100967,East,118000,1750
WH-W100968,West,110000,1680
WH-C100969,Central,180000,2600
WH-N100970,North,120000,1800
WH-S100971,South,115000,1700
WH-E100972,East,118000,1750
WH-W100973,West,110000,1680
WH-C100974,Central,180000,2600
WH-N100975,North,120000,1800
WH-S100976,South,115000,1700
WH-E100977,East,118000,1750
WH-W100978,West,110000,1680
WH-C100979,Central,180000,2600
WH-N100980,North,120000,1800
WH-S100981,South,115000,1700
WH-E100982,East,118000,1750
WH-W100983,West,110000,1680
WH-C100984,Central,180000,2600
WH-N100985,North,120000,1800
WH-S100986,South,115000,1700
WH-E100987,East,118000,1750
WH-W100988,West,110000,1680
WH-C100989,Central,180000,2600
WH-N100990,North,120000,1800
WH-S100991,South,115000,1700
WH-E100992,East,118000,1750
WH-W100993,West,110000,1680
WH-C100994,Central,180000,2600
WH-N100995,North,120000,1800
WH-S100996,South,115000,1700
WH-E100997,East,118000,1750
WH-W100998,West,110000,1680
WH-C100999,Central,180000,2600
WH-N101000,North,120000,1800
WH-S101001,South,115000,1700
WH-E101002,East,118000,1750
WH-W101003,West,110000,1680
WH-C101004,Central,180000,2600
WH-N101005,North,120000,1800
WH-S101006,South,115000,1700
WH-E101007,East,118000,1750
WH-W101008,West,110000,1680
WH-C101009,Central,180000,2600
WH-N101010,North,120000,1800
WH-S101011,South,115000,1700
WH-E101012,East,118000,1750
WH-W101013,West,110000,1680
WH-C101014,Central,180000,2600
WH-N101015,North,120000,1800
WH-S101016,South,115000,1700
WH-E101017,East,118000,1750
WH-W101018,West,110000,1680
WH-C101019,Central,180000,2600
WH-N101020,North,120000,1800
WH-S101021,South,115000,1700
WH-E101022,East,118000,1750
WH-W101023,West,110000,1680
WH-C101024,Central,180000,2600
WH-N101025,North,120000,1800
WH-S101026,South,115000,1700
WH-E101027,East,118000,1750
WH-W101028,West,110000,1680
WH-C101029,Central,180000,2600
WH-N101030,North,120000,1800
WH-S101031,South,115000,1700
WH-E101032,East,118000,1750
WH-W101033,West,110000,1680
WH-C101034,Central,180000,2600
WH-N101035,North,120000,1800
WH-S101036,South,115000,1700
WH-E101037,East,118000,1750
WH-W101038,West,110000,1680
WH-C101039,Central,180000,2600
WH-N101040,North,120000,1800
WH-S101041,South,115000,1700
WH-E101042,East,118000,1750
WH-W101043,West,110000,1680
WH-C101044,Central,180000,2600
WH-N101045,North,120000,1800
WH-S101046,South,115000,1700
WH-E101047,East,118000,1750
WH-W101048,West,110000,1680
WH-C101049,Central,180000,2600
WH-N101050,North,120000,1800
WH-S101051,South,115000,1700
WH-E101052,East,118000,1750
WH-W101053,West,110000,1680
WH-C101054,Central,180000,2600
WH-N101055,North,120000,1800
WH-S101056,South,115000,1700
WH-E101057,East,118000,1750
WH-W101058,West,110000,1680
WH-C101059,Central,180000,2600
WH-N101060,North,120000,1800
WH-S101061,South,115000,1700
WH-E101062,East,118000,1750
WH-W101063,West,110000,1680
WH-C101064,Central,180000,2600
WH-N101065,North,120000,1800
WH-S101066,South,115000,1700
WH-E101067,East,118000,1750
WH-W101068,West,110000,1680
WH-C101069,Central,180000,2600
WH-N101070,North,120000,1800
WH-S101071,South,115000,1700
WH-E101072,East,118000,1750
WH-W101073,West,110000,1680
WH-C101074,Central,180000,2600
WH-N101075,North,120000,1800
WH-S101076,South,115000,1700
WH-E101077,East,118000,1750
WH-W101078,West,110000,1680
WH-C101079,Central,180000,2600
WH-N101080,North,120000,1800
WH-S101081,South,115000,1700
WH-E101082,East,118000,1750
WH-W101083,West,110000,1680
WH-C101084,Central,180000,2600
WH-N101085,North,120000,1800
WH-S101086,South,115000,1700
WH-E101087,East,118000,1750
WH-W101088,West,110000,1680
WH-C101089,Central,180000,2600
WH-N101090,North,120000,1800
WH-S101091,South,115000,1700
WH-E101092,East,118000,1750
WH-W101093,West,110000,1680
WH-C101094,Central,180000,2600
WH-N101095,North,120000,1800
WH-S101096,South,115000,1700
WH-E101097,East,118000,1750
WH-W101098,West,110000,1680
WH-C101099,Central,180000,2600
WH-N101100,North,120000,1800
WH-S101101,South,115000,1700
WH-E101102,East,118000,1750
WH-W101103,West,110000,1680
WH-C101104,Central,180000,2600
WH-N101105,North,120000,1800
WH-S101106,South,115000,1700
WH-E101107,East,118000,1750
WH-W101108,West,110000,1680
WH-C101109,Central,180000,2600
WH-N101110,North,120000,1800
WH-S101111,South,115000,1700
WH-E101112,East,118000,1750
WH-W101113,West,110000,1680
WH-C101114,Central,180000,2600
WH-N101115,North,120000,1800
WH-S101116,South,115000,1700
WH-E101117,East,118000,1750
WH-W101118,West,110000,1680
WH-C101119,Central,180000,2600
WH-N101120,North,120000,1800
WH-S101121,South,115000,1700
WH-E101122,East,118000,1750
WH-W101123,West,110000,1680
WH-C101124,Central,180000,2600
WH-N101125,North,120000,1800
WH-S101126,South,115000,1700
WH-E101127,East,118000,1750
WH-W101128,West,110000,1680
WH-C101129,Central,180000,2600
WH-N101130,North,120000,1800
WH-S101131,South,115000,1700
WH-E101132,East,118000,1750
WH-W101133,West,110000,1680
WH-C101134,Central,180000,2600
WH-N101135,North,120000,1800
WH-S101136,South,115000,1700
WH-E101137,East,118000,1750
WH-W101138,West,110000,1680
WH-C101139,Central,180000,2600
WH-N101140,North,120000,1800
WH-S101141,South,115000,1700
WH-E101142,East,118000,1750
WH-W101143,West,110000,1680
WH-C101144,Central,180000,2600
WH-N101145,North,120000,1800
WH-S101146,South,115000,1700
WH-E101147,East,118000,1750
WH-W101148,West,110000,1680
WH-C101149,Central,180000,2600
WH-N101150,North,120000,1800
WH-S101151,South,115000,1700
WH-E101152,East,118000,1750
WH-W101153,West,110000,1680
WH-C101154,Central,180000,2600
WH-N101155,North,120000,1800
WH-S101156,South,115000,1700
WH-E101157,East,118000,1750
WH-W101158,West,110000,1680
WH-C101159,Central,180000,2600
WH-N101160,North,120000,1800
WH-S101161,South,115000,1700
WH-E101162,East,118000,1750
WH-W101163,West,110000,1680
WH-C101164,Central,180000,2600
WH-N101165,North,120000,1800
WH-S101166,South,115000,1700
WH-E101167,East,118000,1750
WH-W101168,West,110000,1680
WH-C101169,Central,180000,2600
WH-N101170,North,120000,1800
WH-S101171,South,115000,1700
WH-E101172,East,118000,1750
WH-W101173,West,110000,1680
WH-C101174,Central,180000,2600
WH-N101175,North,120000,1800
WH-S101176,South,115000,1700
WH-E101177,East,118000,1750
WH-W101178,West,110000,1680
WH-C101179,Central,180000,2600
WH-N101180,North,120000,1800
WH-S101181,South,115000,1700
WH-E101182,East,118000,1750
WH-W101183,West,110000,1680
WH-C101184,Central,180000,2600
WH-N101185,North,120000,1800
WH-S101186,South,115000,1700
WH-E101187,East,118000,1750
WH-W101188,West,110000,1680
WH-C101189,Central,180000,2600
WH-N101190,North,120000,1800
WH-S101191,South,115000,1700
WH-E101192,East,118000,1750
WH-W101193,West,110000,1680
WH-C101194,Central,180000,2600
WH-N101195,North,120000,1800
WH-S101196,South,115000,1700
WH-E101197,East,118000,1750
WH-W101198,West,110000,1680
WH-C101199,Central,180000,2600
WH-N101200,North,120000,1800
WH-S101201,South,115000,1700
WH-E101202,East,118000,1750
WH-W101203,West,110000,1680
WH-C101204,Central,180000,2600
WH-N101205,North,120000,1800
WH-S101206,South,115000,1700
WH-E101207,East,118000,1750
WH-W101208,West,110000,1680
WH-C101209,Central,180000,2600
WH-N101210,North,120000,1800
WH-S101211,South,115000,1700
WH-E101212,East,118000,1750
WH-W101213,West,110000,1680
WH-C101214,Central,180000,2600
WH-N101215,North,120000,1800
WH-S101216,South,115000,1700
WH-E101217,East,118000,1750
WH-W101218,West,110000,1680
WH-C101219,Central,180000,2600
WH-N101220,North,120000,1800
WH-S101221,South,115000,1700
WH-E101222,East,118000,1750
WH-W101223,West,110000,1680
WH-C101224,Central,180000,2600
WH-N101225,North,120000,1800
WH-S101226,South,115000,1700
WH-E101227,East,118000,1750
WH-W101228,West,110000,1680
WH-C101229,Central,180000,2600
WH-N101230,North,120000,1800
WH-S101231,South,115000,1700
WH-E101232,East,118000,1750
WH-W101233,West,110000,1680
WH-C101234,Central,180000,2600
WH-N101235,North,120000,1800
WH-S101236,South,115000,1700
WH-E101237,East,118000,1750
WH-W101238,West,110000,1680
WH-C101239,Central,180000,2600
WH-N101240,North,120000,1800
WH-S101241,South,115000,1700
WH-E101242,East,118000,1750
WH-W101243,West,110000,1680
WH-C101244,Central,180000,2600
WH-N101245,North,120000,1800
WH-S101246,South,115000,1700
WH-E101247,East,118000,1750
WH-W101248,West,110000,1680
WH-C101249,Central,180000,2600
WH-N101250,North,120000,1800
WH-S101251,South,115000,1700
WH-E101252,East,118000,1750
WH-W101253,West,110000,1680
WH-C101254,Central,180000,2600
WH-N101255,North,120000,1800
WH-S101256,South,115000,1700
WH-E101257,East,118000,1750
WH-W101258,West,110000,1680
WH-C101259,Central,180000,2600
WH-N101260,North,120000,1800
WH-S101261,South,115000,1700
WH-E101262,East,118000,1750
WH-W101263,West,110000,1680
WH-C101264,Central,180000,2600
WH-N101265,North,120000,1800
WH-S101266,South,115000,1700
WH-E101267,East,118000,1750
WH-W101268,West,110000,1680
WH-C101269,Central,180000,2600
WH-N101270,North,120000,1800
WH-S101271,South,115000,1700
WH-E101272,East,118000,1750
WH-W101273,West,110000,1680
WH-C101274,Central,180000,2600
WH-N101275,North,120000,1800
WH-S101276,South,115000,1700
WH-E101277,East,118000,1750
WH-W101278,West,110000,1680
WH-C101279,Central,180000,2600
WH-N101280,North,120000,1800
WH-S101281,South,115000,1700
WH-E101282,East,118000,1750
WH-W101283,West,110000,1680
WH-C101284,Central,180000,2600
WH-N101285,North,120000,1800
WH-S101286,South,115000,1700
WH-E101287,East,118000,1750
WH-W101288,West,110000,1680
WH-C101289,Central,180000,2600
WH-N101290,North,120000,1800
WH-S101291,South,115000,1700
WH-E101292,East,118000,1750
WH-W101293,West,110000,1680
WH-C101294,Central,180000,2600
WH-N101295,North,120000,1800
WH-S101296,South,115000,1700
WH-E101297,East,118000,1750
WH-W101298,West,110000,1680
WH-C101299,Central,180000,2600
WH-N101300,North,120000,1800
WH-S101301,South,115000,1700
WH-E101302,East,118000,1750
WH-W101303,West,110000,1680
WH-C101304,Central,180000,2600
WH-N101305,North,120000,1800
WH-S101306,South,115000,1700
WH-E101307,East,118000,1750
WH-W101308,West,110000,1680
WH-C101309,Central,180000,2600
WH-N101310,North,120000,1800
WH-S101311,South,115000,1700
WH-E101312,East,118000,1750
WH-W101313,West,110000,1680
WH-C101314,Central,180000,2600
WH-N101315,North,120000,1800
WH-S101316,South,115000,1700
WH-E101317,East,118000,1750
WH-W101318,West,110000,1680
WH-C101319,Central,180000,2600
WH-N101320,North,120000,1800
WH-S101321,South,115000,1700
WH-E101322,East,118000,1750
WH-W101323,West,110000,1680
WH-C101324,Central,180000,2600
WH-N101325,North,120000,1800
WH-S101326,South,115000,1700
WH-E101327,East,118000,1750
WH-W101328,West,110000,1680
WH-C101329,Central,180000,2600
WH-N101330,North,120000,1800
WH-S101331,South,115000,1700
WH-E101332,East,118000,1750
WH-W101333,West,110000,1680
WH-C101334,Central,180000,2600
WH-N101335,North,120000,1800
WH-S101336,South,115000,1700
WH-E101337,East,118000,1750
WH-W101338,West,110000,1680
WH-C101339,Central,180000,2600
WH-N101340,North,120000,1800
WH-S101341,South,115000,1700
WH-E101342,East,118000,1750
WH-W101343,West,110000,1680
WH-C101344,Central,180000,2600
WH-N101345,North,120000,1800
WH-S101346,South,115000,1700
WH-E101347,East,118000,1750
WH-W101348,West,110000,1680
WH-C101349,Central,180000,2600
WH-N101350,North,120000,1800
WH-S101351,South,115000,1700
WH-E101352,East,118000,1750
WH-W101353,West,110000,1680
WH-C101354,Central,180000,2600
WH-N101355,North,120000,1800
WH-S101356,South,115000,1700
WH-E101357,East,118000,1750
WH-W101358,West,110000,1680
WH-C101359,Central,180000,2600
WH-N101360,North,120000,1800
WH-S101361,South,115000,1700
WH-E101362,East,118000,1750
WH-W101363,West,110000,1680
WH-C101364,Central,180000,2600
WH-N101365,North,120000,1800
WH-S101366,South,115000,1700
WH-E101367,East,118000,1750
WH-W101368,West,110000,1680
WH-C101369,Central,180000,2600
WH-N101370,North,120000,1800
WH-S101371,South,115000,1700
WH-E101372,East,118000,1750
WH-W101373,West,110000,1680
WH-C101374,Central,180000,2600
WH-N101375,North,120000,1800
WH-S101376,South,115000,1700
WH-E101377,East,118000,1750
WH-W101378,West,110000,1680
WH-C101379,Central,180000,2600
WH-N101380,North,120000,1800
WH-S101381,South,115000,1700
WH-E101382,East,118000,1750
WH-W101383,West,110000,1680
WH-C101384,Central,180000,2600
WH-N101385,North,120000,1800
WH-S101386,South,115000,1700
WH-E101387,East,118000,1750
WH-W101388,West,110000,1680
WH-C101389,Central,180000,2600
WH-N101390,North,120000,1800
WH-S101391,South,115000,1700
WH-E101392,East,118000,1750
WH-W101393,West,110000,1680
WH-C101394,Central,180000,2600
WH-N101395,North,120000,1800
WH-S101396,South,115000,1700
WH-E101397,East,118000,1750
WH-W101398,West,110000,1680
WH-C101399,Central,180000,2600
WH-N101400,North,120000,1800
WH-S101401,South,115000,1700
WH-E101402,East,118000,1750
WH-W101403,West,110000,1680
WH-C101404,Central,180000,2600
WH-N101405,North,120000,1800
WH-S101406,South,115000,1700
WH-E101407,East,118000,1750
WH-W101408,West,110000,1680
WH-C101409,Central,180000,2600
WH-N101410,North,120000,1800
WH-S101411,South,115000,1700
WH-E101412,East,118000,1750
WH-W101413,West,110000,1680
WH-C101414,Central,180000,2600
WH-N101415,North,120000,1800
WH-S101416,South,115000,1700
WH-E101417,East,118000,1750
WH-W101418,West,110000,1680
WH-C101419,Central,180000,2600
WH-N101420,North,120000,1800
WH-S101421,South,115000,1700
WH-E101422,East,118000,1750
WH-W101423,West,110000,1680
WH-C101424,Central,180000,2600
WH-N101425,North,120000,1800
WH-S101426,South,115000,1700
WH-E101427,East,118000,1750
WH-W101428,West,110000,1680
WH-C101429,Central,180000,2600
WH-N101430,North,120000,1800
WH-S101431,South,115000,1700
WH-E101432,East,118000,1750
WH-W101433,West,110000,1680
WH-C101434,Central,180000,2600
WH-N101435,North,120000,1800
WH-S101436,South,115000,1700
WH-E101437,East,118000,1750
WH-W101438,West,110000,1680
WH-C101439,Central,180000,2600
WH-N101440,North,120000,1800
WH-S101441,South,115000,1700
WH-E101442,East,118000,1750
WH-W101443,West,110000,1680
WH-C101444,Central,180000,2600
WH-N101445,North,120000,1800
WH-S101446,South,115000,1700
WH-E101447,East,118000,1750
WH-W101448,West,110000,1680
WH-C101449,Central,180000,2600
WH-N101450,North,120000,1800
WH-S101451,South,115000,1700
WH-E101452,East,118000,1750
WH-W101453,West,110000,1680
WH-C101454,Central,180000,2600
WH-N101455,North,120000,1800
WH-S101456,South,115000,1700
WH-E101457,East,118000,1750
WH-W101458,West,110000,1680
WH-C101459,Central,180000,2600
WH-N101460,North,120000,1800
WH-S101461,South,115000,1700
WH-E101462,East,118000,1750
WH-W101463,West,110000,1680
WH-C101464,Central,180000,2600
WH-N101465,North,120000,1800
WH-S101466,South,115000,1700
WH-E101467,East,118000,1750
WH-W101468,West,110000,1680
WH-C101469,Central,180000,2600
WH-N101470,North,120000,1800
WH-S101471,South,115000,1700
WH-E101472,East,118000,1750
WH-W101473,West,110000,1680
WH-C101474,Central,180000,2600
WH-N101475,North,120000,1800
WH-S101476,South,115000,1700
WH-E101477,East,118000,1750
WH-W101478,West,110000,1680
WH-C101479,Central,180000,2600
WH-N101480,North,120000,1800
WH-S101481,South,115000,1700
WH-E101482,East,118000,1750
WH-W101483,West,110000,1680
WH-C101484,Central,180000,2600
WH-N101485,North,120000,1800
WH-S101486,South,115000,1700
WH-E101487,East,118000,1750
WH-W101488,West,110000,1680
WH-C101489,Central,180000,2600
WH-N101490,North,120000,1800
WH-S101491,South,115000,1700
WH-E101492,East,118000,1750
WH-W101493,West,110000,1680
WH-C101494,Central,180000,2600
WH-N101495,North,120000,1800
WH-S101496,South,115000,1700
WH-E101497,East,118000,1750
WH-W101498,West,110000,1680
WH-C101499,Central,180000,2600
WH-N101500,North,120000,1800
WH-S101501,South,115000,1700
WH-E101502,East,118000,1750
WH-W101503,West,110000,1680
WH-C101504,Central,180000,2600
WH-N101505,North,120000,1800
WH-S101506,South,115000,1700
WH-E101507,East,118000,1750
WH-W101508,West,110000,1680
WH-C101509,Central,180000,2600
WH-N101510,North,120000,1800
WH-S101511,South,115000,1700
WH-E101512,East,118000,1750
WH-W101513,West,110000,1680
WH-C101514,Central,180000,2600
WH-N101515,North,120000,1800
WH-S101516,South,115000,1700
WH-E101517,East,118000,1750
WH-W101518,West,110000,1680
WH-C101519,Central,180000,2600
WH-N101520,North,120000,1800
WH-S101521,South,115000,1700
WH-E101522,East,118000,1750
WH-W101523,West,110000,1680
WH-C101524,Central,180000,2600
WH-N101525,North,120000,1800
WH-S101526,South,115000,1700
WH-E101527,East,118000,1750
WH-W101528,West,110000,1680
WH-C101529,Central,180000,2600
WH-N101530,North,120000,1800
WH-S101531,South,115000,1700
WH-E101532,East,118000,1750
WH-W101533,West,110000,1680
WH-C101534,Central,180000,2600
WH-N101535,North,120000,1800
WH-S101536,South,115000,1700
WH-E101537,East,118000,1750
WH-W101538,West,110000,1680
WH-C101539,Central,180000,2600
WH-N101540,North,120000,1800
WH-S101541,South,115000,1700
WH-E101542,East,118000,1750
WH-W101543,West,110000,1680
WH-C101544,Central,180000,2600
WH-N101545,North,120000,1800
WH-S101546,South,115000,1700
WH-E101547,East,118000,1750
WH-W101548,West,110000,1680
WH-C101549,Central,180000,2600
WH-N101550,North,120000,1800
WH-S101551,South,115000,1700
WH-E101552,East,118000,1750
WH-W101553,West,110000,1680
WH-C101554,Central,180000,2600
WH-N101555,North,120000,1800
WH-S101556,South,115000,1700
WH-E101557,East,118000,1750
WH-W101558,West,110000,1680
WH-C101559,Central,180000,2600
WH-N101560,North,120000,1800
WH-S101561,South,115000,1700
WH-E101562,East,118000,1750
WH-W101563,West,110000,1680
WH-C101564,Central,180000,2600
WH-N101565,North,120000,1800
WH-S101566,South,115000,1700
WH-E101567,East,118000,1750
WH-W101568,West,110000,1680
WH-C101569,Central,180000,2600
WH-N101570,North,120000,1800
WH-S101571,South,115000,1700
WH-E101572,East,118000,1750
WH-W101573,West,110000,1680
WH-C101574,Central,180000,2600
WH-N101575,North,120000,1800
WH-S101576,South,115000,1700
WH-E101577,East,118000,1750
WH-W101578,West,110000,1680
WH-C101579,Central,180000,2600
WH-N101580,North,120000,1800
WH-S101581,South,115000,1700
WH-E101582,East,118000,1750
WH-W101583,West,110000,1680
WH-C101584,Central,180000,2600
WH-N101585,North,120000,1800
WH-S101586,South,115000,1700
WH-E101587,East,118000,1750
WH-W101588,West,110000,1680
WH-C101589,Central,180000,2600
WH-N101590,North,120000,1800
WH-S101591,South,115000,1700
WH-E101592,East,118000,1750
WH-W101593,West,110000,1680
WH-C101594,Central,180000,2600
WH-N101595,North,120000,1800
WH-S101596,South,115000,1700
WH-E101597,East,118000,1750
WH-W101598,West,110000,1680
WH-C101599,Central,180000,2600
WH-N101600,North,120000,1800
WH-S101601,South,115000,1700
WH-E101602,East,118000,1750
WH-W101603,West,110000,1680
WH-C101604,Central,180000,2600
WH-N101605,North,120000,1800
WH-S101606,South,115000,1700
WH-E101607,East,118000,1750
WH-W101608,West,110000,1680
WH-C101609,Central,180000,2600
WH-N101610,North,120000,1800
WH-S101611,South,115000,1700
WH-E101612,East,118000,1750
WH-W101613,West,110000,1680
WH-C101614,Central,180000,2600
WH-N101615,North,120000,1800
WH-S101616,South,115000,1700
WH-E101617,East,118000,1750
WH-W101618,West,110000,1680
WH-C101619,Central,180000,2600
WH-N101620,North,120000,1800
WH-S101621,South,115000,1700
WH-E101622,East,118000,1750
WH-W101623,West,110000,1680
WH-C101624,Central,180000,2600
WH-N101625,North,120000,1800
WH-S101626,South,115000,1700
WH-E101627,East,118000,1750
WH-W101628,West,110000,1680
WH-C101629,Central,180000,2600
WH-N101630,North,120000,1800
WH-S101631,South,115000,1700
WH-E101632,East,118000,1750
WH-W101633,West,110000,1680
WH-C101634,Central,180000,2600
WH-N101635,North,120000,1800
WH-S101636,South,115000,1700
WH-E101637,East,118000,1750
WH-W101638,West,110000,1680
WH-C101639,Central,180000,2600
WH-N101640,North,120000,1800
WH-S101641,South,115000,1700
WH-E101642,East,118000,1750
WH-W101643,West,110000,1680
WH-C101644,Central,180000,2600
WH-N101645,North,120000,1800
WH-S101646,South,115000,1700
WH-E101647,East,118000,1750
WH-W101648,West,110000,1680
WH-C101649,Central,180000,2600
WH-N101650,North,120000,1800
WH-S101651,South,115000,1700
WH-E101652,East,118000,1750
WH-W101653,West,110000,1680
WH-C101654,Central,180000,2600
WH-N101655,North,120000,1800
WH-S101656,South,115000,1700
WH-E101657,East,118000,1750
WH-W101658,West,110000,1680
WH-C101659,Central,180000,2600
WH-N101660,North,120000,1800
WH-S101661,South,115000,1700
WH-E101662,East,118000,1750
WH-W101663,West,110000,1680
WH-C101664,Central,180000,2600
WH-N101665,North,120000,1800
WH-S101666,South,115000,1700
WH-E101667,East,118000,1750
WH-W101668,West,110000,1680
WH-C101669,Central,180000,2600
WH-N101670,North,120000,1800
WH-S101671,South,115000,1700
WH-E101672,East,118000,1750
WH-W101673,West,110000,1680
WH-C101674,Central,180000,2600
WH-N101675,North,120000,1800
WH-S101676,South,115000,1700
WH-E101677,East,118000,1750
WH-W101678,West,110000,1680
WH-C101679,Central,180000,2600
WH-N101680,North,120000,1800
WH-S101681,South,115000,1700
WH-E101682,East,118000,1750
WH-W101683,West,110000,1680
WH-C101684,Central,180000,2600
WH-N101685,North,120000,1800
WH-S101686,South,115000,1700
WH-E101687,East,118000,1750
WH-W101688,West,110000,1680
WH-C101689,Central,180000,2600
WH-N101690,North,120000,1800
WH-S101691,South,115000,1700
WH-E101692,East,118000,1750
WH-W101693,West,110000,1680
WH-C101694,Central,180000,2600
WH-N101695,North,120000,1800
WH-S101696,South,115000,1700
WH-E101697,East,118000,1750
WH-W101698,West,110000,1680
WH-C101699,Central,180000,2600
WH-N101700,North,120000,1800
WH-S101701,South,115000,1700
WH-E101702,East,118000,1750
WH-W101703,West,110000,1680
WH-C101704,Central,180000,2600
WH-N101705,North,120000,1800
WH-S101706,South,115000,1700
WH-E101707,East,118000,1750
WH-W101708,West,110000,1680
WH-C101709,Central,180000,2600
WH-N101710,North,120000,1800
WH-S101711,South,115000,1700
WH-E101712,East,118000,1750
WH-W101713,West,110000,1680
WH-C101714,Central,180000,2600
WH-N101715,North,120000,1800
WH-S101716,South,115000,1700
WH-E101717,East,118000,1750
WH-W101718,West,110000,1680
WH-C101719,Central,180000,2600
WH-N101720,North,120000,1800
WH-S101721,South,115000,1700
WH-E101722,East,118000,1750
WH-W101723,West,110000,1680
WH-C101724,Central,180000,2600
WH-N101725,North,120000,1800
WH-S101726,South,115000,1700
WH-E101727,East,118000,1750
WH-W101728,West,110000,1680
WH-C101729,Central,180000,2600
WH-N101730,North,120000,1800
WH-S101731,South,115000,1700
WH-E101732,East,118000,1750
WH-W101733,West,110000,1680
WH-C101734,Central,180000,2600
WH-N101735,North,120000,1800
WH-S101736,South,115000,1700
WH-E101737,East,118000,1750
WH-W101738,West,110000,1680
WH-C101739,Central,180000,2600
WH-N101740,North,120000,1800
WH-S101741,South,115000,1700
WH-E101742,East,118000,1750
WH-W101743,West,110000,1680
WH-C101744,Central,180000,2600
WH-N101745,North,120000,1800
WH-S101746,South,115000,1700
WH-E101747,East,118000,1750
WH-W101748,West,110000,1680
WH-C101749,Central,180000,2600
WH-N101750,North,120000,1800
WH-S101751,South,115000,1700
WH-E101752,East,118000,1750
WH-W101753,West,110000,1680
WH-C101754,Central,180000,2600
WH-N101755,North,120000,1800
WH-S101756,South,115000,1700
WH-E101757,East,118000,1750
WH-W101758,West,110000,1680
WH-C101759,Central,180000,2600
WH-N101760,North,120000,1800
WH-S101761,South,115000,1700
WH-E101762,East,118000,1750
WH-W101763,West,110000,1680
WH-C101764,Central,180000,2600
WH-N101765,North,120000,1800
WH-S101766,South,115000,1700
WH-E101767,East,118000,1750
WH-W101768,West,110000,1680
WH-C101769,Central,180000,2600
WH-N101770,North,120000,1800
WH-S101771,South,115000,1700
WH-E101772,East,118000,1750
WH-W101773,West,110000,1680
WH-C101774,Central,180000,2600
WH-N101775,North,120000,1800
WH-S101776,South,115000,1700
WH-E101777,East,118000,1750
WH-W101778,West,110000,1680
WH-C101779,Central,180000,2600
WH-N101780,North,120000,1800
WH-S101781,South,115000,1700
WH-E101782,East,118000,1750
WH-W101783,West,110000,1680
WH-C101784,Central,180000,2600
WH-N101785,North,120000,1800
WH-S101786,South,115000,1700
WH-E101787,East,118000,1750
WH-W101788,West,110000,1680
WH-C101789,Central,180000,2600
WH-N101790,North,120000,1800
WH-S101791,South,115000,1700
WH-E101792,East,118000,1750
WH-W101793,West,110000,1680
WH-C101794,Central,180000,2600
WH-N101795,North,120000,1800
WH-S101796,South,115000,1700
WH-E101797,East,118000,1750
WH-W101798,West,110000,1680
WH-C101799,Central,180000,2600
WH-N101800,North,120000,1800
WH-S101801,South,115000,1700
WH-E101802,East,118000,1750
WH-W101803,West,110000,1680
WH-C101804,Central,180000,2600
WH-N101805,North,120000,1800
WH-S101806,South,115000,1700
WH-E101807,East,118000,1750
WH-W101808,West,110000,1680
WH-C101809,Central,180000,2600
WH-N101810,North,120000,1800
WH-S101811,South,115000,1700
WH-E101812,East,118000,1750
WH-W101813,West,110000,1680
WH-C101814,Central,180000,2600
WH-N101815,North,120000,1800
WH-S101816,South,115000,1700
WH-E101817,East,118000,1750
WH-W101818,West,110000,1680
WH-C101819,Central,180000,2600
WH-N101820,North,120000,1800
WH-S101821,South,115000,1700
WH-E101822,East,118000,1750
WH-W101823,West,110000,1680
WH-C101824,Central,180000,2600
WH-N101825,North,120000,1800
WH-S101826,South,115000,1700
WH-E101827,East,118000,1750
WH-W101828,West,110000,1680
WH-C101829,Central,180000,2600
WH-N101830,North,120000,1800
WH-S101831,South,115000,1700
WH-E101832,East,118000,1750
WH-W101833,West,110000,1680
